date,state,pred
2020-11-02T13:30:34Z,NE-02,0.76
2020-11-02T13:30:34Z,NE-03,0.02
2020-11-02T13:30:34Z,Nebraska,0.05
2020-11-02T13:30:34Z,Nevada,0.77
2020-11-02T13:30:34Z,New Hampshire,0.81
2020-11-02T13:30:34Z,New Jersey,0.96
2020-11-02T13:30:34Z,New Mexico,0.91
2020-11-02T13:30:34Z,New York,0.95
2020-11-02T13:30:34Z,North Carolina,0.54
2020-11-02T13:30:34Z,North Dakota,0.04
2020-11-02T13:30:34Z,Ohio,0.3
2020-11-02T13:30:34Z,Oklahoma,0.03
2020-11-02T13:30:34Z,Oregon,0.95
2020-11-02T13:30:34Z,Pennsylvania,0.63
2020-11-02T13:30:34Z,Rhode Island,0.96
2020-11-02T13:30:34Z,South Carolina,0.07
2020-11-02T13:30:34Z,South Dakota,0.05
2020-11-02T13:30:34Z,Tennessee,0.04
2020-11-02T13:30:34Z,Texas,0.31
2020-11-02T13:30:34Z,Utah,0.03
2020-11-02T13:30:34Z,Vermont,0.97
2020-11-02T13:30:34Z,Virginia,0.93
2020-11-02T13:30:34Z,Washington,0.96
2020-11-02T13:30:34Z,West Virginia,0.03
2020-11-02T13:30:34Z,Wisconsin,0.73
2020-11-02T13:30:34Z,Wyoming,0.03
2020-11-01T13:40:42Z,Alabama,0.03
2020-11-01T13:40:42Z,Alaska,0.12
2020-11-01T13:40:42Z,Arizona,0.58
2020-11-01T13:40:42Z,Arkansas,0.03
2020-11-01T13:40:42Z,California,0.95
2020-11-01T13:40:42Z,Colorado,0.92
2020-11-01T13:40:42Z,Connecticut,0.96
2020-11-01T13:40:42Z,DC,0.99
2020-11-01T13:40:42Z,Delaware,0.96
2020-11-01T13:40:42Z,Florida,0.44
2020-11-01T13:40:42Z,Georgia,0.43
2020-11-01T13:40:42Z,Hawaii,0.95
2020-11-01T13:40:42Z,Idaho,0.04
2020-11-01T13:40:42Z,Illinois,0.95
2020-11-01T13:40:42Z,Indiana,0.05
2020-11-01T13:40:42Z,Iowa,0.28
2020-11-01T13:40:42Z,Kansas,0.06
2020-11-01T13:40:42Z,Kentucky,0.04
2020-11-01T13:40:42Z,Louisiana,0.03
2020-11-01T13:40:42Z,ME-01,0.97
2020-11-01T13:40:42Z,ME-02,0.47
2020-11-01T13:40:42Z,Maine,0.92
2020-11-01T13:40:42Z,Maryland,0.96
2020-11-01T13:40:42Z,Massachusetts,0.96
2020-11-01T13:40:42Z,Michigan,0.72
2020-11-01T13:40:42Z,Minnesota,0.77
2020-11-01T13:40:42Z,Mississippi,0.05
2020-11-01T13:40:42Z,Missouri,0.07
2020-11-01T13:40:42Z,Montana,0.11
2020-11-01T13:40:42Z,NE-01,0.08
2020-11-01T13:40:42Z,NE-02,0.76
2020-11-01T13:40:42Z,NE-03,0.02
2020-11-01T13:40:42Z,Nebraska,0.05
2020-11-01T13:40:42Z,Nevada,0.77
2020-11-01T13:40:42Z,New Hampshire,0.81
2020-11-01T13:40:42Z,New Jersey,0.96
2020-11-01T13:40:42Z,New Mexico,0.91
2020-11-01T13:40:42Z,New York,0.95
2020-11-01T13:40:42Z,North Carolina,0.53
2020-11-01T13:40:42Z,North Dakota,0.04
2020-11-01T13:40:42Z,Ohio,0.3
2020-11-01T13:40:42Z,Oklahoma,0.03
2020-11-01T13:40:42Z,Oregon,0.95
2020-11-01T13:40:42Z,Pennsylvania,0.63
2020-11-01T13:40:42Z,Rhode Island,0.96
2020-11-01T13:40:42Z,South Carolina,0.07
2020-11-01T13:40:42Z,South Dakota,0.05
2020-11-01T13:40:42Z,Tennessee,0.04
2020-11-01T13:40:42Z,Texas,0.31
2020-11-01T13:40:42Z,Utah,0.03
2020-11-01T13:40:42Z,Vermont,0.97
2020-11-01T13:40:42Z,Virginia,0.92
2020-11-01T13:40:42Z,Washington,0.96
2020-11-01T13:40:42Z,West Virginia,0.03
2020-11-01T13:40:42Z,Wisconsin,0.73
2020-11-01T13:40:42Z,Wyoming,0.03
2020-10-31T14:59:06Z,Alabama,0.03
2020-10-31T14:59:06Z,Alaska,0.11
2020-10-31T14:59:06Z,Arizona,0.56
2020-10-31T14:59:06Z,Arkansas,0.03
2020-10-31T14:59:06Z,California,0.96
2020-10-31T14:59:06Z,Colorado,0.92
2020-10-31T14:59:06Z,Connecticut,0.97
2020-10-31T14:59:06Z,DC,0.99
2020-10-31T14:59:06Z,Delaware,0.96
2020-10-31T14:59:06Z,Florida,0.45
2020-10-31T14:59:06Z,Georgia,0.48
2020-10-31T14:59:06Z,Hawaii,0.96
2020-10-31T14:59:06Z,Idaho,0.03
2020-10-31T14:59:06Z,Illinois,0.96
2020-10-31T14:59:06Z,Indiana,0.05
2020-10-31T14:59:06Z,Iowa,0.41
2020-10-31T14:59:06Z,Kansas,0.05
2020-10-31T14:59:06Z,Kentucky,0.05
2020-10-31T14:59:06Z,Louisiana,0.03
2020-10-31T14:59:06Z,ME-01,0.96
2020-10-31T14:59:06Z,ME-02,0.5
2020-10-31T14:59:06Z,Maine,0.92
2020-10-31T14:59:06Z,Maryland,0.98
2020-10-31T14:59:06Z,Massachusetts,0.98
2020-10-31T14:59:06Z,Michigan,0.72
2020-10-31T14:59:06Z,Minnesota,0.76
2020-10-31T14:59:06Z,Mississippi,0.06
2020-10-31T14:59:06Z,Missouri,0.06
2020-10-31T14:59:06Z,Montana,0.13
2020-10-31T14:59:06Z,NE-01,0.09
2020-10-31T14:59:06Z,NE-02,0.76
2020-10-31T14:59:06Z,NE-03,0.02
2020-10-31T14:59:06Z,Nebraska,0.04
2020-10-31T14:59:06Z,Nevada,0.78
2020-10-31T14:59:06Z,New Hampshire,0.81
2020-10-31T14:59:06Z,New Jersey,0.95
2020-10-31T14:59:06Z,New Mexico,0.92
2020-10-31T14:59:06Z,New York,0.96
2020-10-31T14:59:06Z,North Carolina,0.54
2020-10-31T14:59:06Z,North Dakota,0.04
2020-10-31T14:59:06Z,Ohio,0.32
2020-10-31T14:59:06Z,Oklahoma,0.02
2020-10-31T14:59:06Z,Oregon,0.96
2020-10-31T14:59:06Z,Pennsylvania,0.63
2020-10-31T14:59:06Z,Rhode Island,0.97
2020-10-31T14:59:06Z,South Carolina,0.07
2020-10-31T14:59:06Z,South Dakota,0.05
