date,state,pred,voteshare
2020-10-28,montana,0.022000000000000002,0.457468501625
2020-10-28,north carolina,0.71425,0.512235017625
2020-10-28,north dakota,0.0,0.37739320375
2020-10-28,nebraska,0.000125,0.419385912125
2020-10-28,new hampshire,0.983,0.547421205875
2020-10-28,new jersey,0.999875,0.598292413625
2020-10-28,new mexico,0.99575,0.566000723625
2020-10-28,nevada,0.9295,0.5337363146249999
2020-10-28,new york,1.0,0.644391519875
2020-10-28,ohio,0.455625,0.497270736375
2020-10-28,oklahoma,0.0,0.367654884625
2020-10-28,oregon,1.0,0.59609077875
2020-10-28,pennsylvania,0.945125,0.534915326
2020-10-28,rhode island,1.0,0.625049658375
2020-10-28,south carolina,0.034375,0.45935984225000004
2020-10-28,south dakota,0.0,0.41238317287500004
2020-10-28,tennessee,0.0,0.415675046875
2020-10-28,texas,0.273125,0.48643865975
2020-10-28,utah,0.0,0.41045310775
2020-10-28,virginia,0.99625,0.562035598875
2020-10-28,vermont,1.0,0.6824362933750001
2020-10-28,washington,1.0,0.6260941445
2020-10-28,wisconsin,0.976625,0.542553681875
2020-10-28,west virginia,0.0,0.35796620575000004
2020-10-28,wyoming,0.0,0.3037978765
2020-10-27,alaska,0.100875,0.46943890299999996
2020-10-27,alabama,0.00015,0.41121096604999996
2020-10-27,arkansas,0.0003,0.410082828175
2020-10-27,arizona,0.7134,0.512769097425
2020-10-27,california,1.0,0.6724623605750001
2020-10-27,colorado,0.994475,0.558604055275
2020-10-27,connecticut,0.99995,0.605064136425
2020-10-27,District of Columbia,1.0,0.9527576010500001
2020-10-27,delaware,1.0,0.6059718774
2020-10-27,florida,0.7765,0.5165485108
2020-10-27,georgia,0.567525,0.50377539835
2020-10-27,hawaii,1.0,0.6864543556999999
2020-10-27,iowa,0.50505,0.500147775175
2020-10-27,idaho,0.0,0.37318390822499997
2020-10-27,illinois,0.999625,0.5910928250249999
2020-10-27,indiana,0.002125,0.4333904815
2020-10-27,kansas,0.005675,0.44407779585
2020-10-27,kentucky,2.5e-05,0.39999456850000004
2020-10-27,louisiana,0.0107,0.4438987681
2020-10-27,massachusetts,1.0,0.668235328075
2020-10-27,maryland,1.0,0.6574919881
2020-10-27,maine,0.9976,0.5639667522249999
2020-10-27,michigan,0.971775,0.5408480822
2020-10-27,minnesota,0.9786,0.544477904275
