"","year","state","total_votes","demshare","rep","other","ev","result","dem_2","gop_2","diff"
"26",2016,"ms",1209357,0.401147882717841,0.579410380888356,0.019441736393803,6,0,0.4091015267594,0.5908984732406,-0.181796946481201
"27",2016,"mt",494526,0.359352187751503,0.564661918685772,0.075985893562725,3,0,0.388903356829755,0.611096643170245,-0.222193286340489
"28",2016,"nc",4741564,0.461728661682095,0.498280946961804,0.027443687357167,15,0,0.480962541962813,0.519037458037187,-0.038074916074374
"29",2016,"nd",344360,0.27226739458706,0.629556278313393,0.097119293762342,3,0,0.301907571034803,0.698092428965198,-0.396184857930395
"30",2016,"ne",844227,0.336987563771355,0.587473511271258,0.056526266039821,5,0,0.364523258868224,0.635476741131776,-0.270953482263552
"31",2016,"nh",744296,0.468262626696906,0.464586669819534,0.050989122607135,4,1,0.501970284423807,0.498029715576193,0.00394056884761468
"32",2016,"nj",3874046,0.554530844496942,0.413503866500295,0.031965289002764,14,1,0.572841901429013,0.427158098570987,0.145683802858025
"33",2016,"nm",798319,0.482556471786341,0.400425143332427,0.117018384881232,5,1,0.546507949343241,0.453492050656759,0.0930158986864824
"34",2016,"nv",1125385,0.47917823678119,0.455006953176024,0.065814810042785,6,1,0.512937094199852,0.487062905800148,0.0258741883997037
"35",2016,"ny",7802084,0.583962438753543,0.361382164047452,0.053012759155118,29,1,0.617724411842306,0.382275588157694,0.235448823684612
"36",2016,"oh",5496487,0.4355807627672,0.516876506757862,0.044574652864639,18,0,0.457323154228641,0.542676845771359,-0.0853536915427185
"37",2016,"ok",1452992,0.289316802845439,0.653228648196274,0.057454548958288,7,0,0.306952627616719,0.693047372383281,-0.386094744766563
"38",2016,"or",2001336,0.500718520028621,0.390940351844968,0.108341128126412,7,1,0.561558389450543,0.438441610549457,0.123116778901087
"39",2016,"pa",6115402,0.478536161645629,0.48577885803746,0.035684980316911,20,0,0.496244641925099,0.503755358074901,-0.00751071614980264
"40",2016,"ri",464144,0.544066065703747,0.388980574993967,0.046616998172981,4,1,0.583107040926598,0.416892959073402,0.166214081853197
"41",2016,"sc",2103027,0.406734197896651,0.549393326856954,0.043872475246395,9,0,0.42539743639476,0.57460256360524,-0.14920512721048
"42",2016,"sd",370093,0.31737428159949,0.615307503789588,0.067318214610922,3,0,0.340281419205688,0.659718580794312,-0.319437161588625
"43",2016,"tn",2508027,0.347163327986501,0.607220336942146,0.040118387880194,11,0,0.36375656954738,0.63624343045262,-0.27248686090524
"44",2016,"tx",8969226,0.43235257981012,0.522346855793354,0.039585355525661,38,0,0.45286774422028,0.54713225577972,-0.0942645115594395
"45",2016,"ut",1131317,0.27461268592269,0.455408165881004,0.269979148196306,6,0,0.376171016545887,0.623828983454113,-0.247657966908226
"46",2016,"va",3982752,0.497513528334177,0.44427647013924,0.050207996882558,13,1,0.528263762771547,0.471736237228453,0.0565275255430945
"47",2016,"vt",320467,0.557227421232139,0.297593824013081,0.073723659534367,3,1,0.651864263238203,0.348135736761796,0.303728526476407
"48",2016,"wa",3317019,0.525386800618266,0.368326801866375,0.073785829987709,12,1,0.587869312000647,0.412130687999353,0.175738624001295
"49",2016,"wi",2976150,0.464538413722427,0.472181845673101,0.059117988004637,10,0,0.495920109619703,0.504079890380297,-0.0081597807605937
"50",2016,"wv",713051,0.264769280177715,0.686305748116194,0.048924971706091,5,0,0.278389477487042,0.721610522512958,-0.443221045025916
"51",2016,"wy",258788,0.21628900876393,0.673984110546084,0.083048673045118,3,0,0.242946803708462,0.757053196291538,-0.514106392583076
